# Expected output of zunic's normalizeStreamSafe, for Unicode 16.0.0.
# Generated by src/tools/test-stream-safe-properties.py --write-fixture;
# do not hand-edit. Each line is:
#
#   source ; stream-safe NFD ; stream-safe NFC ; description
#
# Columns are space-separated hex code points. The two output columns
# are UAX #15 section 13 insertion applied to the source scalars,
# then canonical normalization -- in that order.

; ; ; empty
0068 0065 006C 006C 006F; 0068 0065 006C 006C 006F; 0068 0065 006C 006C 006F; ascii only
0043 0061 0066 00E9; 0043 0061 0066 0065 0301; 0043 0061 0066 00E9; composed accents, no insertion
0043 0061 0066 0065 0301; 0043 0061 0066 0065 0301; 0043 0061 0066 00E9; decomposed accents, no insertion
0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 29 marks after a starter
0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 29 leading marks, no starter
0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 30 marks after a starter
0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 30 leading marks, no starter
0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305; 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305; 31 marks after a starter
0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305; 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305; 31 leading marks, no starter
0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305 0305; 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305 0305; 32 marks after a starter
0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305 0305; 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305 0305; 32 leading marks, no starter
0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 60 marks after a starter
0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 60 leading marks, no starter
